G
COMPSCI 	1026A	082	0.5
COMPSCI 	1027B	081	0.5
EARTHSCI 	1022B	075	0.5
ECONOMIC	1021A	078	0.5
HISTORY		1403E	085	1.0
PSYCHOL		1000	083	1.0
COMPSCI		2208B	079	0.5
ENGLISH		2017	075	1.0
RELSTUD		1033B	082	0.5
RELSTUD		2203G	075	0.5
WRITING		2101F	083	0.5
MATH		1225A	075	0.5
COMPSCI		2210A	075	0.5
HISTORY		2127F	075	0.5
HISTORY		2190A	078	0.5
MATH		1228A	078	0.5
PSYCHOL		2011A	075	0.5
COMPSCI		3305B	088	0.5
COMPSCI		3342B	091	0.5
HISTORY		2195B	074	0.5
MATH		1600B	078	0.5
MATH		1201B	080	0.5
COMPSCI		2212A	087	0.5
COMPSCI		3340A	087	0.5
STATS		2244A	085	0.5
COMPSCI		2209A	086	0.5
COMPSCI		2211A	079	0.5
COMPSCI		3307A	080	0.5
COMPSCI		3331A	077	0.5
COMPSCI		3346B	079	0.5
COMPSCI		3350B	074	0.5
COMPSCI		4474B	080	0.5
COMPSCI		4483B	090	0.5
COMPSCI		1033A	088	0.5
GEOGRAP		2090A	084	0.5
COMPSCI		2214B	095	0.5
COMPSCI		4413A	095	0.5
